id_municipio,municipio_nome,macrometropole
3500600,Águas de São Pedro,Macrometrópole
3500758,Alambari,Macrometrópole
3501152,Alumínio,Macrometrópole
3501608,Americana,Macrometrópole
3502002,Analândia,Macrometrópole
3502507,Aparecida,Macrometrópole
3502754,Araçariguama,Macrometrópole
3502903,Araçoiaba da Serra,Macrometrópole
3503158,Arapeí,Macrometrópole
3503307,Araras,Macrometrópole
3503505,Areias,Macrometrópole
3503802,Artur Nogueira,Macrometrópole
3503901,Arujá,Macrometrópole
3504107,Atibaia,Macrometrópole
3504909,Bananal,Macrometrópole
3505708,Barueri,Macrometrópole
3506359,Bertioga,Macrometrópole
3506607,Biritiba-Mirim,Macrometrópole
3507001,Boituva,Macrometrópole
3507100,Bom Jesus dos Perdões,Macrometrópole
3507605,Bragança Paulista,Macrometrópole
3508405,Cabreúva,Macrometrópole
3508504,Caçapava,Macrometrópole
3508603,Cachoeira Paulista,Macrometrópole
3509007,Caieiras,Macrometrópole
3509205,Cajamar,Macrometrópole
3509502,Campinas,Macrometrópole
3509601,Campo Limpo Paulista,Macrometrópole
3509700,Campos do Jordão,Macrometrópole
3509957,Canas,Macrometrópole
3510302,Capela do Alto,Macrometrópole
3510401,Capivari,Macrometrópole
3510500,Caraguatatuba,Macrometrópole
3510609,Carapicuíba,Macrometrópole
3511508,Cerquilho,Macrometrópole
3511607,Cesário Lange,Macrometrópole
3511706,Charqueada,Macrometrópole
3512209,Conchal,Macrometrópole
3512407,Cordeirópolis,Macrometrópole
3512704,Corumbataí,Macrometrópole
3512803,Cosmópolis,Macrometrópole
3513009,Cotia,Macrometrópole
3513405,Cruzeiro,Macrometrópole
3513504,Cubatão,Macrometrópole
3513603,Cunha,Macrometrópole
3513801,Diadema,Macrometrópole
3514908,Elias Fausto,Macrometrópole
3515004,Embu das Artes,Macrometrópole
3515103,Embu-Guaçu,Macrometrópole
3515152,Engenheiro Coelho,Macrometrópole
3515707,Ferraz de Vasconcelos,Macrometrópole
3516309,Francisco Morato,Macrometrópole
3516408,Franco da Rocha,Macrometrópole
3518305,Guararema,Macrometrópole
3518404,Guaratinguetá,Macrometrópole
3518701,Guarujá,Macrometrópole
3518800,Guarulhos,Macrometrópole
3519055,Holambra,Macrometrópole
3519071,Hortolândia,Macrometrópole
3519709,Ibiúna,Macrometrópole
3520202,Igaratá,Macrometrópole
3520400,Ilhabela,Macrometrópole
