id_municipio,municipio_cetesb
3500105,ADAMANTINA
3500204,ADOLFO
3500303,AGUAÍ
3500402,ÁGUAS DA PRATA
3500501,ÁGUAS DE LINDÓIA
3500550,ÁGUAS DE SANTA BÁRBARA
3500600,ÁGUAS DE SÃO PEDRO
3500709,AGUDOS
3500758,ALAMBARI
3500808,ALFREDO MARCONDES
3500907,ALTAIR
3501004,ALTINÓPOLIS
3501103,ALTO ALEGRE
3501152,ALUMÍNIO
3501202,ÁLVARES FLORENCE
3501301,ÁLVARES MACHADO
3501400,ÁLVARO DE CARVALHO
3501509,ALVINLÂNDIA
3501608,AMERICANA
3501707,AMÉRICO BRASILIENSE
3501806,AMÉRICO DE CAMPOS
3501905,AMPARO
3502002,ANALÂNDIA
3502101,ANDRADINA
3502200,ANGATUBA
3502309,ANHEMBI
3502408,ANHUMAS
3502507,APARECIDA
3502606,APARECIDA D`OESTE
3502705,APIAÍ
3502754,ARAÇARIGUAMA
3502804,ARAÇATUBA
3502903,ARAÇOIABA DA SERRA
3503000,ARAMINA
3503109,ARANDU
3503158,ARAPEÍ
3503208,ARARAQUARA
3503307,ARARAS
3503356,ARCO-ÍRIS
3503406,AREALVA
3503505,AREIAS
3503604,AREIÓPOLIS
3503703,ARIRANHA
3503802,ARTUR NOGUEIRA
3503901,ARUJÁ
3503950,ASPÁSIA
3504008,ASSIS
3504107,ATIBAIA
3504206,AURIFLAMA
3504305,AVAÍ
3504404,AVANHANDAVA
3504503,AVARÉ
3504602,BADY BASSITT
3504701,BALBINOS
3504800,BÁLSAMO
3504909,BANANAL
3505005,BARÃO DE ANTONINA
3505104,BARBOSA
3505203,BARIRI
3505302,BARRA BONITA
3505351,BARRA DO CHAPÉU
3505401,BARRA DO TURVO
3505500,BARRETOS
3505609,BARRINHA
3505708,BARUERI
3505807,BASTOS
3505906,BATATAIS
3506003,BAURU
3506102,BEBEDOURO
3506201,BENTO DE ABREU
3506300,BERNARDINO DE CAMPOS
3506359,BERTIOGA
3506409,BILAC
3506508,BIRIGUI
3506607,BIRITIBA MIRIM
3506706,BOA ESPERANÇA DO SUL
3506805,BOCAINA
3506904,BOFETE
3507001,BOITUVA
3507100,BOM JESUS DOS PERDÕES
3507159,BOM SUCESSO DE ITARARÉ
3507209,BORÁ
3507308,BORACÉIA
3507407,BORBOREMA
3507456,BOREBI
3507506,BOTUCATU
3507605,BRAGANÇA PAULISTA
3507704,BRAÚNA
3507753,BREJO ALEGRE
3507803,BRODOWSKI
3507902,BROTAS
3508009,BURI
3508108,BURITAMA
3508207,BURITIZAL
3508306,CABRÁLIA PAULISTA
3508405,CABREÚVA
3508504,CAÇAPAVA
3508603,CACHOEIRA PAULISTA
3508702,CACONDE
3508801,CAFELÂNDIA
3508900,CAIABU
3509007,CAIEIRAS
3509106,CAIUÁ
3509205,CAJAMAR
3509254,CAJATI
3509304,CAJOBI
3509403,CAJURU
3509452,CAMPINA DO MONTE ALEGRE
3509502,CAMPINAS
3509601,CAMPO LIMPO PAULISTA
3509700,CAMPOS DO JORDÃO
3509809,CAMPOS NOVOS PAULISTA
3509908,CANANÉIA
3509957,CANAS
3510005,CÂNDIDO MOTA
3510104,CÂNDIDO RODRIGUES
3510153,CANITAR
3510203,CAPÃO BONITO
3510302,CAPELA DO ALTO
3510401,CAPIVARI
3510500,CARAGUATATUBA
3510609,CARAPICUÍBA
3510708,CARDOSO
3510807,CASA BRANCA
3510906,CÁSSIA DOS COQUEIROS
3511003,CASTILHO
3511102,CATANDUVA
3511201,CATIGUÁ
3511300,CEDRAL
3511409,CERQUEIRA CÉSAR
3511508,CERQUILHO
3511607,CESÁRIO LANGE
3511706,CHARQUEADA
3557204,CHAVANTES
3511904,CLEMENTINA
3512001,COLINA
3512100,COLÔMBIA
3512209,CONCHAL
3512308,CONCHAS
3512407,CORDEIRÓPOLIS
3512506,COROADOS
3512605,CORONEL MACEDO
3512704,CORUMBATAÍ
3512803,COSMÓPOLIS
3512902,COSMORAMA
3513009,COTIA
3513108,CRAVINHOS
3513207,CRISTAIS PAULISTA
3513306,CRUZÁLIA
3513405,CRUZEIRO
3513504,CUBATÃO
3513603,CUNHA
3513702,DESCALVADO
3513801,DIADEMA
3513850,DIRCE REIS
3513900,DIVINOLÂNDIA
3514007,DOBRADA
3514106,DOIS CÓRREGOS
3514205,DOLCINÓPOLIS
3514304,DOURADO
3514403,DRACENA
3514502,DUARTINA
3514601,DUMONT
3514700,ECHAPORÃ
3514809,ELDORADO
3514908,ELIAS FAUSTO
3514924,ELISIÁRIO
3514957,EMBAÚBA
3515004,EMBU DAS ARTES
3515103,EMBU-GUAÇU
3515129,EMILIANÓPOLIS
3515152,ENGENHEIRO COELHO
3515186,ESPÍRITO SANTO DO PINHAL
3515194,ESPÍRITO SANTO DO TURVO
3557303,ESTIVA GERBI
3515301,ESTRELA DO NORTE
3515202,ESTRELA D`OESTE
3515350,EUCLIDES DA CUNHA PAULISTA
3515400,FARTURA
3515608,FERNANDO PRESTES
3515509,FERNANDÓPOLIS
3515657,FERNÃO
3515707,FERRAZ DE VASCONCELOS
3515806,FLORA RICA
3515905,FLOREAL
3516002,FLÓRIDA PAULISTA
3516101,FLORÍNEA
3516200,FRANCA
3516309,FRANCISCO MORATO
3516408,FRANCO DA ROCHA
3516507,GABRIEL MONTEIRO
3516606,GÁLIA
3516705,GARÇA
3516804,GASTÃO VIDIGAL
3516853,GAVIÃO PEIXOTO
3516903,GENERAL SALGADO
3517000,GETULINA
3517109,GLICÉRIO
3517208,GUAIÇARA
3517307,GUAIMBÊ
3517406,GUAÍRA
3517505,GUAPIAÇU
3517604,GUAPIARA
3517703,GUARÁ
3517802,GUARAÇAÍ
3517901,GUARACI
3518008,GUARANI D`OESTE
3518107,GUARANTÃ
3518206,GUARARAPES
3518305,GUARAREMA
3518404,GUARATINGUETÁ
3518503,GUAREÍ
3518602,GUARIBA
3518701,GUARUJÁ
3518800,GUARULHOS
3518859,GUATAPARÁ
3518909,GUZOLÂNDIA
3519006,HERCULÂNDIA
3519055,HOLAMBRA
3519071,HORTOLÂNDIA
3519105,IACANGA
3519204,IACRI
3519253,IARAS
3519303,IBATÉ
3519402,IBIRÁ
3519501,IBIRAREMA
3519600,IBITINGA
3519709,IBIÚNA
3519808,ICÉM
3519907,IEPÊ
3520004,IGARAÇU DO TIETÊ
3520103,IGARAPAVA
3520202,IGARATÁ
3520301,IGUAPE
3520426,ILHA COMPRIDA
3520442,ILHA SOLTEIRA
3520400,ILHABELA
3520509,INDAIATUBA
3520608,INDIANA
3520707,INDIAPORÃ
3520806,INÚBIA PAULISTA
3520905,IPAUSSU
3521002,IPERÓ
3521101,IPEÚNA
3521150,IPIGUÁ
3521200,IPORANGA
3521309,IPUÃ
3521408,IRACEMÁPOLIS
3521507,IRAPUÃ
3521606,IRAPURU
3521705,ITABERÁ
3521804,ITAÍ
3521903,ITAJOBI
3522000,ITAJU
3522109,ITANHAÉM
3522158,ITAÓCA
3522208,ITAPECERICA DA SERRA
3522307,ITAPETININGA
3522406,ITAPEVA
3522505,ITAPEVI
3522604,ITAPIRA
3522653,ITAPIRAPUÃ PAULISTA
3522703,ITÁPOLIS
3522802,ITAPORANGA
3522901,ITAPUÍ
3523008,ITAPURA
3523107,ITAQUAQUECETUBA
3523206,ITARARÉ
3523305,ITARIRI
3523404,ITATIBA
3523503,ITATINGA
3523602,ITIRAPINA
3523701,ITIRAPUÃ
3523800,ITOBI
3523909,ITU
3524006,ITUPEVA
3524105,ITUVERAVA
3524204,JABORANDI
3524303,JABOTICABAL
3524402,JACAREÍ
3524501,JACI
3524600,JACUPIRANGA
3524709,JAGUARIÚNA
3524808,JALES
3524907,JAMBEIRO
3525003,JANDIRA
3525102,JARDINÓPOLIS
3525201,JARINU
3525300,JAÚ
3525409,JERIQUARA
3525508,JOANÓPOLIS
3525607,JOÃO RAMALHO
3525706,JOSÉ BONIFÁCIO
3525805,JÚLIO MESQUITA
3525854,JUMIRIM
3525904,JUNDIAÍ
3526001,JUNQUEIRÓPOLIS
3526100,JUQUIÁ
3526209,JUQUITIBA
3526308,LAGOINHA
3526407,LARANJAL PAULISTA
3526506,LAVÍNIA
3526605,LAVRINHAS
3526704,LEME
3526803,LENÇÓIS PAULISTA
3526902,LIMEIRA
3527009,LINDÓIA
3527108,LINS
3527207,LORENA
