id_municipio,municipio_nome,id_cetesb
3500105,Adamantina,150
3500204,Adolfo,151
3500303,Aguaí,152
3500402,Águas da Prata,154
3500501,Águas de Lindóia,153
3500550,Águas de Santa Bárbara,607
3500600,Águas de São Pedro,155
3500709,Agudos,156
3500758,Alambari,732
3500808,Alfredo Marcondes,157
3500907,Altair,158
3501004,Altinópolis,159
3501103,Alto Alegre,160
3501152,Alumínio,733
3501202,Álvares Florence,161
3501301,Álvares Machado,162
3501400,Álvaro de Carvalho,163
3501509,Alvinlândia,164
3501608,Americana,165
3501707,Américo Brasiliense,166
3501806,Américo de Campos,167
3501905,Amparo,168
3502002,Analândia,169
3502101,Andradina,170
3502200,Angatuba,171
3502309,Anhembi,172
3502408,Anhumas,173
3502507,Aparecida,174
3502606,Aparecida d'Oeste,175
3502705,Apiaí,176
3502754,Araçariguama,734
3502804,Araçatuba,177
3502903,Araçoiaba da Serra,178
3503000,Aramina,179
3503109,Arandu,180
3503158,Arapeí,735
3503208,Araraquara,181
3503307,Araras,182
3503356,Arco-Íris,775
3503406,Arealva,183
3503505,Areias,184
3503604,Areiópolis,185
3503703,Ariranha,186
3503802,Artur Nogueira,187
3503901,Arujá,188
3503950,Aspásia,736
3504008,Assis,189
3504107,Atibaia,190
3504206,Auriflama,191
3504305,Avaí,192
3504404,Avanhandava,193
3504503,Avaré,194
3504602,Bady Bassitt,195
3504701,Balbinos,196
3504800,Bálsamo,197
3504909,Bananal,198
3505005,Barão de Antonina,199
3505104,Barbosa,200
3505203,Bariri,201
3505302,Barra Bonita,202
3505351,Barra do Chapéu,737
3505401,Barra do Turvo,203
3505500,Barretos,204
3505609,Barrinha,205
3505708,Barueri,206
3505807,Bastos,207
3505906,Batatais,208
3506003,Bauru,209
3506102,Bebedouro,210
3506201,Bento de Abreu,211
3506300,Bernardino de Campos,212
3506359,Bertioga,738
3506409,Bilac,213
3506508,Birigui,214
3506607,Biritiba-Mirim,215
3506706,Boa Esperança do Sul,216
3506805,Bocaina,217
3506904,Bofete,218
3507001,Boituva,219
3507100,Bom Jesus dos Perdões,220
3507159,Bom Sucesso de Itararé,739
3507209,Borá,221
3507308,Boracéia,222
3507407,Borborema,223
3507456,Borebi,721
3507506,Botucatu,224
3507605,Bragança Paulista,225
3507704,Braúna,226
3507753,Brejo Alegre,776
3507803,Brodowski,227
3507902,Brotas,228
3508009,Buri,229
3508108,Buritama,230
3508207,Buritizal,231
3508306,Cabrália Paulista,232
3508405,Cabreúva,233
3508504,Caçapava,234
3508603,Cachoeira Paulista,235
3508702,Caconde,236
3508801,Cafelândia,237
3508900,Caiabu,238
3509007,Caieiras,239
3509106,Caiuá,240
3509205,Cajamar,241
3509254,Cajati,740
3509304,Cajobi,242
3509403,Cajuru,243
3509452,Campina do Monte Alegre,741
3509502,Campinas,244
3509601,Campo Limpo Paulista,245
3509700,Campos do Jordão,246
3509809,Campos Novos Paulista,247
3509908,Cananéia,248
3509957,Canas,777
3510005,Cândido Mota,249
3510104,Cândido Rodrigues,250
3510153,Canitar,742
3510203,Capão Bonito,251
3510302,Capela do Alto,252
3510401,Capivari,253
3510500,Caraguatatuba,254
3510609,Carapicuíba,255
3510708,Cardoso,256
3510807,Casa Branca,257
3510906,Cássia dos Coqueiros,258
3511003,Castilho,259
3511102,Catanduva,260
3511201,Catiguá,261
3511300,Cedral,262
3511409,Cerqueira César,263
3511508,Cerquilho,265
3511607,Cesário Lange,264
3511706,Charqueada,266
3557204,Chavantes,719
3511904,Clementina,267
3512001,Colina,268
3512100,Colômbia,269
3512209,Conchal,270
3512308,Conchas,271
3512407,Cordeirópolis,272
3512506,Coroados,273
3512605,Coronel Macedo,274
3512704,Corumbataí,275
3512803,Cosmópolis,276
3512902,Cosmorama,277
3513009,Cotia,278
3513108,Cravinhos,279
3513207,Cristais Paulista,280
3513306,Cruzália,281
3513405,Cruzeiro,282
3513504,Cubatão,283
3513603,Cunha,284
3513702,Descalvado,285
3513801,Diadema,286
3513850,Dirce Reis,722
3513900,Divinolândia,287
3514007,Dobrada,288
3514106,Dois Córregos,289
3514205,Dolcinópolis,290
3514304,Dourado,291
3514403,Dracena,292
3514502,Duartina,293
3514601,Dumont,294
3514700,Echaporã,295
3514809,Eldorado,296
3514908,Elias Fausto,297
3514924,Elisiário,743
3514957,Embaúba,723
3515004,Embu das Artes,298
3515103,Embu-Guaçu,299
3515129,Emilianópolis,744
3515152,Engenheiro Coelho,745
3515186,Espírito Santo do Pinhal,530
3515194,Espírito Santo do Turvo,724
3557303,Estiva Gerbi,746
3515301,Estrela do Norte,300
3515202,Estrela d'Oeste,301
3515350,Euclides da Cunha Paulista,725
3515400,Fartura,302
3515608,Fernando Prestes,303
3515509,Fernandópolis,304
3515657,Fernão,786
3515707,Ferraz de Vasconcelos,305
3515806,Flora Rica,306
3515905,Floreal,307
3516002,Flórida Paulista,308
3516101,Florínea,309
3516200,Franca,310
3516309,Francisco Morato,311
3516408,Franco da Rocha,312
3516507,Gabriel Monteiro,313
3516606,Gália,314
3516705,Garça,315
3516804,Gastão Vidigal,316
3516853,Gavião Peixoto,787
3516903,General Salgado,317
3517000,Getulina,318
