id_municipio,municipio_nome,id_microregiao
3500105,Adamantina,35001
3500204,Adolfo,35002
3500303,Aguaí,35003
3500402,Águas da Prata,35004
3500501,Águas de Lindóia,35005
3500550,Águas de Santa Bárbara,35005
3500600,Águas de São Pedro,35006
3500709,Agudos,35007
3500758,Alambari,35007
3500808,Alfredo Marcondes,35008
3500907,Altair,35009
3501004,Altinópolis,35010
3501103,Alto Alegre,35011
3501152,Alumínio,35011
3501202,Álvares Florence,35012
3501301,Álvares Machado,35013
3501400,Álvaro de Carvalho,35014
3501509,Alvinlândia,35015
3501608,Americana,35016
3501707,Américo Brasiliense,35017
3501806,Américo de Campos,35018
3501905,Amparo,35019
3502002,Analândia,35020
3502101,Andradina,35021
3502200,Angatuba,35022
3502309,Anhembi,35023
3502408,Anhumas,35024
3502507,Aparecida,35025
3502606,Aparecida d'Oeste,35026
3502705,Apiaí,35027
3502754,Araçariguama,35027
3502804,Araçatuba,35028
3502903,Araçoiaba da Serra,35029
3503000,Aramina,35030
3503109,Arandu,35031
3503158,Arapeí,35031
3503208,Araraquara,35032
3503307,Araras,35033
3503356,Arco-Íris,35033
3503406,Arealva,35034
3503505,Areias,35035
3503604,Areiópolis,35036
3503703,Ariranha,35037
3503802,Artur Nogueira,35038
3503901,Arujá,35039
3503950,Aspásia,35039
3504008,Assis,35040
3504107,Atibaia,35041
3504206,Auriflama,35042
3504305,Avaí,35043
3504404,Avanhandava,35044
3504503,Avaré,35045
3504602,Bady Bassitt,35046
3504701,Balbinos,35047
3504800,Bálsamo,35048
3504909,Bananal,35049
3505005,Barão de Antonina,35050
3505104,Barbosa,35051
3505203,Bariri,35052
3505302,Barra Bonita,35053
3505351,Barra do Chapéu,35053
3505401,Barra do Turvo,35054
3505500,Barretos,35055
3505609,Barrinha,35056
3505708,Barueri,35057
3505807,Bastos,35058
3505906,Batatais,35059
3506003,Bauru,35060
3506102,Bebedouro,35061
3506201,Bento de Abreu,35062
3506300,Bernardino de Campos,35063
3506359,Bertioga,35063
3506409,Bilac,35064
3506508,Birigui,35065
3506607,Biritiba-Mirim,35066
3506706,Boa Esperança do Sul,35067
3506805,Bocaina,35068
3506904,Bofete,35069
3507001,Boituva,35070
3507100,Bom Jesus dos Perdões,35071
3507159,Bom Sucesso de Itararé,35071
3507209,Borá,35072
3507308,Boracéia,35073
3507407,Borborema,35074
3507456,Borebi,35074
3507506,Botucatu,35075
3507605,Bragança Paulista,35076
3507704,Braúna,35077
3507753,Brejo Alegre,35077
3507803,Brodowski,35078
3507902,Brotas,35079
3508009,Buri,35080
3508108,Buritama,35081
3508207,Buritizal,35082
3508306,Cabrália Paulista,35083
3508405,Cabreúva,35084
3508504,Caçapava,35085
3508603,Cachoeira Paulista,35086
3508702,Caconde,35087
3508801,Cafelândia,35088
3508900,Caiabu,35089
3509007,Caieiras,35090
3509106,Caiuá,35091
3509205,Cajamar,35092
3509254,Cajati,35092
3509304,Cajobi,35093
3509403,Cajuru,35094
3509452,Campina do Monte Alegre,35094
3509502,Campinas,35095
3509601,Campo Limpo Paulista,35096
3509700,Campos do Jordão,35097
3509809,Campos Novos Paulista,35098
3509908,Cananéia,35099
3509957,Canas,35099
3510005,Cândido Mota,35100
3510104,Cândido Rodrigues,35101
3510153,Canitar,35101
3510203,Capão Bonito,35102
3510302,Capela do Alto,35103
3510401,Capivari,35104
3510500,Caraguatatuba,35105
3510609,Carapicuíba,35106
3510708,Cardoso,35107
3510807,Casa Branca,35108
3510906,Cássia dos Coqueiros,35109
3511003,Castilho,35110
3511102,Catanduva,35111
3511201,Catiguá,35112
3511300,Cedral,35113
3511409,Cerqueira César,35114
3511508,Cerquilho,35115
3511607,Cesário Lange,35116
3511706,Charqueada,35117
3557204,Chavantes,35572
3511904,Clementina,35119
3512001,Colina,35120
3512100,Colômbia,35121
3512209,Conchal,35122
3512308,Conchas,35123
3512407,Cordeirópolis,35124
3512506,Coroados,35125
3512605,Coronel Macedo,35126
3512704,Corumbataí,35127
3512803,Cosmópolis,35128
3512902,Cosmorama,35129
3513009,Cotia,35130
3513108,Cravinhos,35131
3513207,Cristais Paulista,35132
3513306,Cruzália,35133
3513405,Cruzeiro,35134
3513504,Cubatão,35135
3513603,Cunha,35136
3513702,Descalvado,35137
3513801,Diadema,35138
3513850,Dirce Reis,35138
3513900,Divinolândia,35139
3514007,Dobrada,35140
3514106,Dois Córregos,35141
3514205,Dolcinópolis,35142
3514304,Dourado,35143
3514403,Dracena,35144
3514502,Duartina,35145
3514601,Dumont,35146
3514700,Echaporã,35147
3514809,Eldorado,35148
3514908,Elias Fausto,35149
3514924,Elisiário,35149
3514957,Embaúba,35149
3515004,Embu das Artes,35150
3515103,Embu-Guaçu,35151
3515129,Emilianópolis,35151
3515152,Engenheiro Coelho,35151
3515186,Espírito Santo do Pinhal,35151
3515194,Espírito Santo do Turvo,35151
3557303,Estiva Gerbi,35573
3515301,Estrela do Norte,35153
3515202,Estrela d'Oeste,35152
3515350,Euclides da Cunha Paulista,35153
3515400,Fartura,35154
3515608,Fernando Prestes,35156
3515509,Fernandópolis,35155
3515657,Fernão,35156
3515707,Ferraz de Vasconcelos,35157
3515806,Flora Rica,35158
3515905,Floreal,35159
3516002,Flórida Paulista,35160
3516101,Florínea,35161
3516200,Franca,35162
3516309,Francisco Morato,35163
3516408,Franco da Rocha,35164
3516507,Gabriel Monteiro,35165
3516606,Gália,35166
3516705,Garça,35167
3516804,Gastão Vidigal,35168
3516853,Gavião Peixoto,35168
3516903,General Salgado,35169
3517000,Getulina,35170
3517109,Glicério,35171
3517208,Guaiçara,35172
3517307,Guaimbê,35173
3517406,Guaíra,35174
3517505,Guapiaçu,35175
3517604,Guapiara,35176
3517703,Guará,35177
3517802,Guaraçaí,35178
3517901,Guaraci,35179
3518008,Guarani d'Oeste,35180
3518107,Guarantã,35181
3518206,Guararapes,35182
3518305,Guararema,35183
3518404,Guaratinguetá,35184
3518503,Guareí,35185
3518602,Guariba,35186
3518701,Guarujá,35187
3518800,Guarulhos,35188
3518859,Guatapará,35188
3518909,Guzolândia,35189
3519006,Herculândia,35190
3519055,Holambra,35190
3519071,Hortolândia,35190
3519105,Iacanga,35191
3519204,Iacri,35192
3519253,Iaras,35192
3519303,Ibaté,35193
3519402,Ibirá,35194
3519501,Ibirarema,35195
3519600,Ibitinga,35196
3519709,Ibiúna,35197
3519808,Icém,35198
3519907,Iepê,35199
3520004,Igaraçu do Tietê,35200
3520103,Igarapava,35201
3520202,Igaratá,35202
3520301,Iguape,35203
3520426,Ilha Comprida,35204
3520442,Ilha Solteira,35204
3520400,Ilhabela,35204
3520509,Indaiatuba,35205
3520608,Indiana,35206
3520707,Indiaporã,35207
3520806,Inúbia Paulista,35208
3520905,Ipaussu,35209
3521002,Iperó,35210
3521101,Ipeúna,35211
3521150,Ipiguá,35211
3521200,Iporanga,35212
3521309,Ipuã,35213
3521408,Iracemápolis,35214
3521507,Irapuã,35215
3521606,Irapuru,35216
3521705,Itaberá,35217
3521804,Itaí,35218
3521903,Itajobi,35219
3522000,Itaju,35220
3522109,Itanhaém,35221
3522158,Itaóca,35221
3522208,Itapecerica da Serra,35222
3522307,Itapetininga,35223
3522406,Itapeva,35224
3522505,Itapevi,35225
3522604,Itapira,35226
3522653,Itapirapuã Paulista,35226
3522703,Itápolis,35227
3522802,Itaporanga,35228
3522901,Itapuí,35229
3523008,Itapura,35230
3523107,Itaquaquecetuba,35231
3523206,Itararé,35232
3523305,Itariri,35233
3523404,Itatiba,35234
3523503,Itatinga,35235
3523602,Itirapina,35236
3523701,Itirapuã,35237
3523800,Itobi,35238
3523909,Itu,35239
3524006,Itupeva,35240
3524105,Ituverava,35241
3524204,Jaborandi,35242
3524303,Jaboticabal,35243
3524402,Jacareí,35244
3524501,Jaci,35245
3524600,Jacupiranga,35246
3524709,Jaguariúna,35247
3524808,Jales,35248
3524907,Jambeiro,35249
3525003,Jandira,35250
3525102,Jardinópolis,35251
3525201,Jarinu,35252
3525300,Jaú,35253
3525409,Jeriquara,35254
3525508,Joanópolis,35255
3525607,João Ramalho,35256
3525706,José Bonifácio,35257
3525805,Júlio Mesquita,35258
3525854,Jumirim,35258
3525904,Jundiaí,35259
3526001,Junqueirópolis,35260
3526100,Juquiá,35261
3526209,Juquitiba,35262
3526308,Lagoinha,35263
3526407,Laranjal Paulista,35264
3526506,Lavínia,35265
3526605,Lavrinhas,35266
3526704,Leme,35267
3526803,Lençóis Paulista,35268
3526902,Limeira,35269
3527009,Lindóia,35270
3527108,Lins,35271
3527207,Lorena,35272
3527256,Lourdes,35272
3527306,Louveira,35273
3527405,Lucélia,35274
3527504,Lucianópolis,35275
3527603,Luís Antônio,35276
3527702,Luiziânia,35277
3527801,Lupércio,35278
3527900,Lutécia,35279
3528007,Macatuba,35280
3528106,Macaubal,35281
3528205,Macedônia,35282
3528304,Magda,35283
3528403,Mairinque,35284
3528502,Mairiporã,35285
3528601,Manduri,35286
3528700,Marabá Paulista,35287
3528809,Maracaí,35288
3528858,Marapoama,35288
3528908,Mariápolis,35289
3529005,Marília,35290
3529104,Marinópolis,35291
3529203,Martinópolis,35292
3529302,Matão,35293
3529401,Mauá,35294
3529500,Mendonça,35295
3529609,Meridiano,35296
3529658,Mesópolis,35296
3529708,Miguelópolis,35297
3529807,Mineiros do Tietê,35298
3530003,Mira Estrela,35300
3529906,Miracatu,35299
3530102,Mirandópolis,35301
3530201,Mirante do Paranapanema,35302
3530300,Mirassol,35303
