id_municipio,municipio_nome,id_ugrhi,nome_ugrhi
3500105,Adamantina,21,Peixe
3500204,Adolfo,16,Tietê / Batalha
3500303,Aguaí,9,Mogi-Guaçu
3500402,Águas da Prata,9,Mogi-Guaçu
3500501,Águas de Lindóia,9,Mogi-Guaçu
3500550,Águas de Santa Bárbara,17,Médio Paranapanema
3500600,Águas de São Pedro,5,Piracicaba / Capivari / Jundiaí
3500709,Agudos,13,Tietê / Jacaré
3500758,Alambari,10,Tietê / Sorocaba
3500808,Alfredo Marcondes,21,Peixe
3500907,Altair,12,Baixo Pardo / Grande
3501004,Altinópolis,4,Pardo
3501103,Alto Alegre,19,Baixo Tietê
3501152,Alumínio,10,Tietê / Sorocaba
3501202,Álvares Florence,15,Turvo / Grande
3501301,Álvares Machado,21,Peixe
3501400,Álvaro de Carvalho,20,Aguapeí
3501509,Alvinlândia,17,Médio Paranapanema
3501608,Americana,5,Piracicaba / Capivari / Jundiaí
3501707,Américo Brasiliense,9,Mogi-Guaçu
3501806,Américo de Campos,15,Turvo / Grande
3501905,Amparo,5,Piracicaba / Capivari / Jundiaí
3502002,Analândia,5,Piracicaba / Capivari / Jundiaí
3502101,Andradina,19,Baixo Tietê
3502200,Angatuba,14,Alto Paranapanema
3502309,Anhembi,10,Tietê / Sorocaba
3502408,Anhumas,22,Pontal do Paranapanema
3502507,Aparecida,2,Paraíba do Sul
3502606,Aparecida d'Oeste,18,São José dos Dourados
3502705,Apiaí,11,Ribeira de Iguape / Litoral Sul
3502754,Araçariguama,10,Tietê / Sorocaba
3502804,Araçatuba,19,Baixo Tietê
3502903,Araçoiaba da Serra,10,Tietê / Sorocaba
3503000,Aramina,8,Sapucaí / Grande
3503109,Arandu,14,Alto Paranapanema
3503158,Arapeí,2,Paraíba do Sul
3503208,Araraquara,13,Tietê / Jacaré
3503307,Araras,9,Mogi-Guaçu
3503356,Arco-Íris,20,Aguapeí
3503406,Arealva,13,Tietê / Jacaré
3503505,Areias,2,Paraíba do Sul
3503604,Areiópolis,13,Tietê / Jacaré
3503703,Ariranha,15,Turvo / Grande
3503802,Artur Nogueira,5,Piracicaba / Capivari / Jundiaí
3503901,Arujá,6,Alto Tietê
3503950,Aspásia,15,Turvo / Grande
3504008,Assis,17,Médio Paranapanema
3504107,Atibaia,5,Piracicaba / Capivari / Jundiaí
3504206,Auriflama,18,São José dos Dourados
3504305,Avaí,16,Tietê / Batalha
3504404,Avanhandava,19,Baixo Tietê
3504503,Avaré,17,Médio Paranapanema
3504602,Bady Bassitt,16,Tietê / Batalha
3504701,Balbinos,16,Tietê / Batalha
3504800,Bálsamo,15,Turvo / Grande
3504909,Bananal,2,Paraíba do Sul
3505005,Barão de Antonina,14,Alto Paranapanema
3505104,Barbosa,19,Baixo Tietê
3505203,Bariri,13,Tietê / Jacaré
3505302,Barra Bonita,13,Tietê / Jacaré
3505351,Barra do Chapéu,11,Ribeira de Iguape / Litoral Sul
3505401,Barra do Turvo,11,Ribeira de Iguape / Litoral Sul
3505500,Barretos,12,Baixo Pardo / Grande
3505609,Barrinha,9,Mogi-Guaçu
3505708,Barueri,6,Alto Tietê
3505807,Bastos,21,Peixe
3505906,Batatais,8,Sapucaí / Grande
3506003,Bauru,13,Tietê / Jacaré
3506102,Bebedouro,12,Baixo Pardo / Grande
3506201,Bento de Abreu,19,Baixo Tietê
3506300,Bernardino de Campos,14,Alto Paranapanema
3506359,Bertioga,7,Baixada Santista
3506409,Bilac,19,Baixo Tietê
3506508,Birigui,19,Baixo Tietê
3506607,Biritiba-Mirim,6,Alto Tietê
3506706,Boa Esperança do Sul,13,Tietê / Jacaré
3506805,Bocaina,13,Tietê / Jacaré
3506904,Bofete,10,Tietê / Sorocaba
3507001,Boituva,10,Tietê / Sorocaba
3507100,Bom Jesus dos Perdões,5,Piracicaba / Capivari / Jundiaí
3507159,Bom Sucesso de Itararé,14,Alto Paranapanema
3507209,Borá,21,Peixe
3507308,Boracéia,13,Tietê / Jacaré
3507407,Borborema,16,Tietê / Batalha
3507456,Borebi,13,Tietê / Jacaré
3507506,Botucatu,10,Tietê / Sorocaba
