id,name,link,attribution,notes
1,AutoNavi Satellite,http://webst01.is.autonavi.com/appmaptile?lang=zh_cn&size=1&scale=1&style=6&x={x}&y={y}&z={z},https://mobile.amap.com/,
2,CARTO Antique,https://cartocdn_a.global.ssl.fastly.net/base-antique/{z}/{x}/{y}.png,https://carto.com,
3,CARTO Eco,https://cartocdn_a.global.ssl.fastly.net/base-eco/{z}/{x}/{y}.png,https://carto.com,
4,CARTO Flat Blue,https://cartocdn_a.global.ssl.fastly.net/base-flatblue/{z}/{x}/{y}.png,https://carto.com,
5,CARTO Midnight,https://cartocdn_a.global.ssl.fastly.net/base-midnight/{z}/{x}/{y}.png,https://carto.com,
6,CARTO Positron,https://cartodb-basemaps-a.global.ssl.fastly.net/light_all/{z}/{x}/{y}.png,https://carto.com,
7,CARTO Positron Light,https://cartodb-basemaps-a.global.ssl.fastly.net/light_all/{z}/{x}/{y}.png,https://carto.com,
8,ESRI Artificial Sky Brightness,https://tiles4.arcgis.com/tiles/b3fMqPOmotX6SV4k/arcgis/rest/services/ArtificialSkyBrightness/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
9,ESRI DeLorme,https://server.arcgisonline.com/arcgis/rest/services/Specialty/DeLorme_World_Base_Map/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
10,ESRI Gray Dark,https://server.arcgisonline.com/arcgis/rest/services/Canvas/World_Dark_Gray_Base/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
11,ESRI Gray Light,http://services.arcgisonline.com/ArcGIS/rest/services/Canvas/World_Light_Gray_Base/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
12,ESRI NatGeo,https://services.arcgisonline.com/ArcGIS/rest/services/NatGeo_World_Map/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
13,ESRI Ocean,https://services.arcgisonline.com/ArcGIS/rest/services/Ocean/World_Ocean_Base/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
14,ESRI Reference Overlay,https://server.arcgisonline.com/ArcGIS/rest/services/Reference/World_Reference_Overlay/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
15,ESRI Satelite,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
16,ESRI Shaded Relief,https://server.arcgisonline.com/ArcGIS/rest/services/World_Shaded_Relief/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
17,ESRI Street,https://server.arcgisonline.com/ArcGIS/rest/services/World_Street_Map/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
18,ESRI Terrain,https://server.arcgisonline.com/ArcGIS/rest/services/World_Terrain_Base/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
19,ESRI Topo,https://server.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
20,ESRI Transportation,https://server.arcgisonline.com/ArcGIS/rest/services/Reference/World_Transportation/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
21,Google,https://mt1.google.com/vt/lyrs=r&x={x}&y={y}&z={z},https://www.google.com/maps,
22,Google Hybrid,https://mt1.google.com/vt/lyrs=y&x={x}&y={y}&z={z},https://www.google.com/maps,
23,Google Labels,https://mt1.google.com/vt/lyrs=h&x={x}&y={y}&z={z},https://www.google.com/maps,
24,Google Satellite,https://mt1.google.com/vt/lyrs=s&x={x}&y={y}&z={z},https://www.google.com/maps,
25,Google Streets,https://mt1.google.com/vt/lyrs=m&x={x}&y={y}&z={z},https://www.google.com/maps,
26,Google Terrain,https://mt1.google.com/vt/lyrs=p&x={x}&y={y}&z={z},https://www.google.com/maps,
27,Google Traffic,"https://mt1.google.com/vt?lyrs=h@159000000,traffic|seconds_into_week:-1&style=3&x={x}&y={y}&z={z}",https://www.google.com/maps,
28,Google.cn Satellite,http://www.google.cn/maps/vt?lyrs=s@189&gl=cn&x={x}&y={y}&z={z},https://www.google.com/maps,
29,Google.cn Streets,http://www.google.cn/maps/vt?lyrs=m@189&gl=cn&x={x}&y={y}&z={z},https://www.google.com/maps,
30,Open Topo Map,https://tile.opentopomap.org/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,need API
31,OSM Base,http://tile.openstreetmap.org/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
32,OSM Black & White,http://tiles.wmflabs.org/bw-mapnik/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
33,OSM Cycle Map,http://tile.thunderforest.com/cycle/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,need API
34,Stamen Terrain,http://a.tile.stamen.com/terrain/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
35,Stamen Watercolor,http://a.tile.stamen.com/watercolor/{z}/{x}/{y}.jpg,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
36,ThunderForest,https://tile.thunderforest.com/landscape/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
38,Waze World,https://worldtiles1.waze.com/tiles/{z}/{x}/{y}.png,https://www.waze.com,
39,Yandex Map,http://vec01.maps.yandex.net/tiles?l=map&x={x}&y={y}&z={z},https://yandex.com,
40,Yandex Satellite,http://sat04.maps.yandex.net/tiles?l=sat&x={x}&y={y}&z={z},https://yandex.com,
