id_municipio,municipio_nome,id_mesoregiao
3500105,Adamantina,3500
3500204,Adolfo,3500
3500303,Aguaí,3500
3500402,Águas da Prata,3500
3500501,Águas de Lindóia,3500
3500550,Águas de Santa Bárbara,3500
3500600,Águas de São Pedro,3500
3500709,Agudos,3500
3500758,Alambari,3500
3500808,Alfredo Marcondes,3500
3500907,Altair,3500
3501004,Altinópolis,3501
3501103,Alto Alegre,3501
3501152,Alumínio,3501
3501202,Álvares Florence,3501
3501301,Álvares Machado,3501
3501400,Álvaro de Carvalho,3501
3501509,Alvinlândia,3501
3501608,Americana,3501
3501707,Américo Brasiliense,3501
3501806,Américo de Campos,3501
3501905,Amparo,3501
3502002,Analândia,3502
3502101,Andradina,3502
3502200,Angatuba,3502
3502309,Anhembi,3502
3502408,Anhumas,3502
3502507,Aparecida,3502
3502606,Aparecida d'Oeste,3502
3502705,Apiaí,3502
3502754,Araçariguama,3502
3502804,Araçatuba,3502
3502903,Araçoiaba da Serra,3502
3503000,Aramina,3503
3503109,Arandu,3503
3503158,Arapeí,3503
3503208,Araraquara,3503
3503307,Araras,3503
3503356,Arco-Íris,3503
3503406,Arealva,3503
3503505,Areias,3503
3503604,Areiópolis,3503
3503703,Ariranha,3503
3503802,Artur Nogueira,3503
3503901,Arujá,3503
3503950,Aspásia,3503
3504008,Assis,3504
3504107,Atibaia,3504
3504206,Auriflama,3504
3504305,Avaí,3504
3504404,Avanhandava,3504
3504503,Avaré,3504
3504602,Bady Bassitt,3504
3504701,Balbinos,3504
3504800,Bálsamo,3504
3504909,Bananal,3504
3505005,Barão de Antonina,3505
3505104,Barbosa,3505
3505203,Bariri,3505
3505302,Barra Bonita,3505
3505351,Barra do Chapéu,3505
3505401,Barra do Turvo,3505
3505500,Barretos,3505
3505609,Barrinha,3505
3505708,Barueri,3505
3505807,Bastos,3505
3505906,Batatais,3505
3506003,Bauru,3506
3506102,Bebedouro,3506
3506201,Bento de Abreu,3506
3506300,Bernardino de Campos,3506
3506359,Bertioga,3506
3506409,Bilac,3506
3506508,Birigui,3506
3506607,Biritiba-Mirim,3506
3506706,Boa Esperança do Sul,3506
3506805,Bocaina,3506
3506904,Bofete,3506
3507001,Boituva,3507
3507100,Bom Jesus dos Perdões,3507
3507159,Bom Sucesso de Itararé,3507
3507209,Borá,3507
3507308,Boracéia,3507
3507407,Borborema,3507
3507456,Borebi,3507
3507506,Botucatu,3507
3507605,Bragança Paulista,3507
3507704,Braúna,3507
3507753,Brejo Alegre,3507
3507803,Brodowski,3507
3507902,Brotas,3507
3508009,Buri,3508
3508108,Buritama,3508
3508207,Buritizal,3508
3508306,Cabrália Paulista,3508
3508405,Cabreúva,3508
3508504,Caçapava,3508
3508603,Cachoeira Paulista,3508
3508702,Caconde,3508
3508801,Cafelândia,3508
3508900,Caiabu,3508
3509007,Caieiras,3509
3509106,Caiuá,3509
3509205,Cajamar,3509
3509254,Cajati,3509
3509304,Cajobi,3509
3509403,Cajuru,3509
3509452,Campina do Monte Alegre,3509
3509502,Campinas,3509
3509601,Campo Limpo Paulista,3509
3509700,Campos do Jordão,3509
3509809,Campos Novos Paulista,3509
3509908,Cananéia,3509
3509957,Canas,3509
3510005,Cândido Mota,3510
3510104,Cândido Rodrigues,3510
3510153,Canitar,3510
3510203,Capão Bonito,3510
3510302,Capela do Alto,3510
3510401,Capivari,3510
3510500,Caraguatatuba,3510
3510609,Carapicuíba,3510
3510708,Cardoso,3510
3510807,Casa Branca,3510
3510906,Cássia dos Coqueiros,3510
3511003,Castilho,3511
3511102,Catanduva,3511
3511201,Catiguá,3511
3511300,Cedral,3511
3511409,Cerqueira César,3511
3511508,Cerquilho,3511
3511607,Cesário Lange,3511
3511706,Charqueada,3511
3557204,Chavantes,3557
3511904,Clementina,3511
3512001,Colina,3512
3512100,Colômbia,3512
3512209,Conchal,3512
3512308,Conchas,3512
3512407,Cordeirópolis,3512
3512506,Coroados,3512
3512605,Coronel Macedo,3512
3512704,Corumbataí,3512
3512803,Cosmópolis,3512
3512902,Cosmorama,3512
3513009,Cotia,3513
3513108,Cravinhos,3513
3513207,Cristais Paulista,3513
3513306,Cruzália,3513
3513405,Cruzeiro,3513
3513504,Cubatão,3513
3513603,Cunha,3513
3513702,Descalvado,3513
3513801,Diadema,3513
3513850,Dirce Reis,3513
3513900,Divinolândia,3513
3514007,Dobrada,3514
3514106,Dois Córregos,3514
3514205,Dolcinópolis,3514
3514304,Dourado,3514
3514403,Dracena,3514
3514502,Duartina,3514
3514601,Dumont,3514
3514700,Echaporã,3514
3514809,Eldorado,3514
3514908,Elias Fausto,3514
3514924,Elisiário,3514
